component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	distribution_kind	public_legal_file_path	legal_file_sha256	notice_path	verification_status
ab_glyph	0.2.32	rust-package	https://crates.io/crates/ab_glyph/0.2.32	Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/ab_glyph-0.2.32-LICENSE-Apache-2_0-ec9246a757-a6cba85bc92e.txt	a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9		PASS
ab_glyph_rasterizer	0.1.10	rust-package	https://crates.io/crates/ab_glyph_rasterizer/0.1.10	Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/ab_glyph-0.2.32-LICENSE-Apache-2_0-ec9246a757-a6cba85bc92e.txt	a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9		PASS
adler2	2.0.1	rust-package	https://crates.io/crates/adler2/2.0.1	0BSD OR MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
ahash	0.8.12	rust-package	https://crates.io/crates/ahash/0.8.12	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/ahash-0.8.12-LICENSE-MIT-MIT-836ab594f5-0444c6991eea.txt	0444c6991eead6822f7b9102e654448d51624431119546492e8b231db42c48bb		PASS
anyhow	1.0.104	rust-package	https://crates.io/crates/anyhow/1.0.104	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
Apple-system-libraries	OS	native-component	https://www.apple.com/macos/	NOT_DISTRIBUTED	NOT_APPLICABLE	SYSTEM_DEPENDENCY_NOT_DISTRIBUTED				PASS
arrayvec	0.7.8	rust-package	https://crates.io/crates/arrayvec/0.7.8	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/arrayvec-0.7.8-LICENSE-MIT-MIT-06989cd89e-4da95ec4ecb6.txt	4da95ec4ecb65b738d470b7d762894ad9c97da93e6cbfb18b570fc2c96f4b871		PASS
ash	0.38.0+1.3.281	rust-package	https://crates.io/crates/ash/0.38.0+1.3.281	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/ash-0.38.0+1.3.281-LICENSE-MIT-MIT-9cd7950f1e-c733ccf8ab25.txt	c733ccf8ab25df175a63d9d844677b98e3a5ab8f8de1c1616087e6868a7f948e		PASS
bit-set	0.8.0	rust-package	https://crates.io/crates/bit-set/0.8.0	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/bit-set-0.8.0-LICENSE-MIT-MIT-daced6829b-f51ac2c59a22.txt	f51ac2c59a222f7476ce507ca879960e2b64ea64bb2786eefdbeb7b0b538d1b7		PASS
bit-vec	0.8.0	rust-package	https://crates.io/crates/bit-vec/0.8.0	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/bit-set-0.8.0-LICENSE-MIT-MIT-daced6829b-f51ac2c59a22.txt	f51ac2c59a222f7476ce507ca879960e2b64ea64bb2786eefdbeb7b0b538d1b7		PASS
